utterances,utterances_en,gender_sensitivity,target_gender,keywords,preceding_context,following_context,term,session,plenary_session,committee_name,annotator
"예를 들면 이 중에 외국인 여성들이 상품화되고 있다고 표현할 수 있을 만큼 인권침해적인 요소가 다분히 많은데요. 사이트에 접속하면 이렇습니다. 국제결혼을 희망하는 여성들의 사진도 나와 있고요, 심지어 신체 사이즈까지 나와 있어요. 회원으로 가입하면 여성들의 동영상까지 볼 수 있고 여성들의 학력에 따른 결혼 중개비용이 상이해요. 그래서 고졸 이하는 880만 원, 전문대 이상은 980만 원, 대졸에 영어 가능자는 1500만 원 이런 식으로 상품화되어 있다는 말이지요. 그래서 심지어는 결혼을 위한 여행상품까지 있습니다. 예를 들면 1일차는 출국하고요, 2일차에는 맞선을 보고 3일차에는 결혼식을 하고 합방을 합니다. 4일차는 신혼여행, 5일차에는 입국 등으로 이루어지는데 이러한 사례들은 평생을 함께 할 배우자, 정말 중요한 평생의 반려자인 동반자인 배우자를 만나는 데 있어서 성적인 기준으로 판단하도록 조장하고 있는 건데 장관님도 그렇게 생각하지 않습니까? 동의하시지요?","For example, there are so many human rights violations here that it's safe to say foreign women are being commodified. As you can see, when you access the site, you'll see photos of women seeking international marriage, and their body measurements are even publicly available. If you sign up, you can even view videos of the women, and the marriage brokerage fees vary depending on their education level. For example, a high school graduate or lower is KRW 8.8 million, a junior college graduate or higher is KRW 9.8 million, and a college graduate with English proficiency is KRW 15 million. There are even marriage travel packages available. These packages consist of departure on day one, matchmaking on day two, marriage and union on day three, honeymoon on day four, and arrival on day five. Minister, don't you agree that these practices encourage people to base their decisions on sexuality, the truly important lifelong companions they will spend their lives with? Do you agree?",H,Women,Commercialization,,,17,262,,Gender Equality and Family Committee,D
"바깥양반의 어떤 직업의식 관계로 저한테 바로 이야기하지는 않은 것으로 압니다. 그러나 4월22일, 어떤 사직동팀으로부터 조사받았다 는 것은 예사로운 일이 아니기 때문에 깜짝 놀랐 고 또 나쁜 일이라 생각해서…….","I understand that my husband, perhaps due to some professional constraints, didn't tell me directly. However, being questioned by the Sajik-dong team on April 22nd was unusual, so I was shocked and felt it was a bad thing…",L,Men,Husband,,,16,217,8,Special Committee on the National Assembly’s Fact-Finding Inquiry into Allegations Concerning Hanbit Bank Loans and Related Matters,Q
"그런데 지금 얘기 중에 보충하자면 여성이라고 해서 특별 보호하는 점도 있습니다마는 지금 직장에서의 젊은 여성들 분위기는 양성 평등정신이 더 강해요. 그래서 남자에게 절대 질 수 없다는 것입니다. 그리고 실제 사무관들, 행정고시한 사람들이 들어오면 남자보다 더 똑똑한 아이들이 있어요. 그래 가지고 자기가 앞으로 승진하는 데 불리한 여건, 빌미를 만들지 않겠다는 것입니다. 그런 의미에서 친정어머니에게 맡기고라도 다소 무리가 없는 범위에서는 대단히 열심히 합니다. 요새 사무관들, 이런 친구들은 달라요.","To supplement, while women do enjoy special protections, the spirit of gender equality is even stronger among young women in the workplace today. Therefore, they can never lose to men. And among the female civil servants who passed the civil service examination, some are even smarter than men. They work as hard as they can, even leaving their children with their mothers, to avoid any disadvantages or excuses for future promotions. These types of people are exceptional among civil servants these days.",L,Women,Mother,"Committee Member Jung Byung-kook: Do you think that simply broadening the scope of opportunities will raise the take-up rate of parental leave? Deputy Minister, please take a look. We have a system, but if the take-up rate is 3.8%, the law might as well not exist.","Member Jeong Byung-guk: This isn’t about just telling people to work hard; aren’t we creating a system—an institutional mechanism—to provide better conditions for those who want to work hard?

Vice Minister of Government Administration and Home Affairs Jeong Young-sik: We can put the system in place, but whether to use it is up to the individuals.

Member Jeong Byung-guk: The problem isn’t the lack of a system; it’s that the existing one isn’t being used. If we don’t analyze why, and this bill doesn’t address the causes, what’s the point?

Vice Minister Jeong Young-sik: We’ve opened a framework that allows women to serve while managing their family responsibilities; in a climate of individual competition, if they don’t fully make use of it, that’s not something we can fault them for.",16,225,2,Special Committee on Women,M
"이것이 어느 한 부처의 문제가 아니라 모든 조직 속에서, 그저 성희롱 문제가 한번 드러나면 문제 제기를 하니까 조금 시끄럽게 가고 조금 시간이 지나가면―아까 조배숙 위원님의 말처럼 남성들의 카르텔로―회복할 수 있다라고 생각하는 것을 근절할 수 있는 대책을 장관님께서는 마련하셔야 될 것이라고 생각합니다.","This isn't a problem for a single ministry, but for all organizations. There's a widespread perception that once a sexual harassment issue arises and is raised, it will be forgotten after a while (as Commissioner Cho Bae-sook just mentioned, through a cartel of men). I believe the Minister must devise measures to eradicate this perception.",H,Women,Men,,,17,250,,Women's Committee,D
"그러니까 국가가 어떤 정책에 개입을 한다는 것은 개인의 자율적인 의사결정에 관여하는 것보다는 오히려 인간의 본능인 출산, 출산 의지가 어떤 사회적인 제약이나 경제적인 어려움으로 인해서 지장을 받는 이런 부분들을 해소하는 차원으로 받아들이는 것들이 우리가 좋을 것이라는 생각이 들고요.","Therefore, I believe it's more reasonable to view state intervention in policy as an attempt to alleviate social constraints or economic difficulties that suppress the human instinct to have children, rather than interfering with individuals' autonomous decision-making.",H,Women,"Childbearing intentions, social constraints, and economic difficulties","To begin with, the claim that the birth credit has no significant effect on fertility decisions—that it’s simply a matter of whether to have it or not—needs to be reexamined. But we shouldn’t approach it that way, because the decision to have children is, after all, a matter of individual freedom.",,19,337,4,Special Committee on Strengthening Public Pensions and Alleviating Old-Age Poverty,N
"그런데 참 유감스럽게도 제가 생각하기에는 교육부가 전 부처 중에서 젠더 마인드, 성 평등 의식이 가장 취약하지 않나 이런 유감스러운 생각을 갖고 있습니다. 그것과 관련해서 제가 세 가지 서면질의를 부탁드릴 테니까 답변해 주십시오. 하나는 아까 여교원이 너무 많다는 말씀을 안상수 위원님이 주셨는데 저는 똑같은 현상에 관해서 다른 문제를 제기하고 싶습니다. 전체 교원 중 여성 비율이 63.2%고, 또 25년 이상 장기근속 교원 중 여성 비율이 3분의 1이 됩니다. 그런데 관리직인 교장, 교감 중 여성 비율은 9.8%에 불과합니다. 굉장히 낮지요? 제가 무슨 얘기를 하려는지 아실 겁니다. 그래서 현재 여교원 관리직 임용 규정 추진이 어느 정도 추진되고 있는지, 연초에 발표했듯이 올해 안에 임용 규정안이 확정될 수 있는지를 답변해 주시고요. 그다음에 여성부로부터 업무 이관받은 사업 중 여성 친화적인 과학 프로그램이 있습니다. 이게 굉장히 좋은 성과를 거둔 프로그램으로 여성부가 개발해서 교육부에 넘긴 겁니다. 그런데 2004년 예산까지만 쓰고 2005년에 반영이 안 되고 있습니다. 그래서 이것은 장관께 말씀드릴 텐데, 교육기본법 제17조의2(남녀평등 교육 증진)입니다. 거기에 근거해서 추진된 여성 친화적인 과학 프로그램을 계속 추진할 수 있도록 해야 된다고 본 위원은 생각하는데 이에 대한 대책을 강구할 의향이 없는지 서면으로 답변을 해 주시고요.","However, I believe the Ministry of Education, unfortunately, has the weakest gender mindset, or awareness of gender equality, among all ministries. Regarding this, I have three written questions for you to answer. First, Commissioner Ahn Sang-soo just mentioned that there are too many female teachers. I would like to raise a different issue related to this phenomenon. The percentage of female teachers is 63.2%, and among teachers with over 25 years of service, women account for one-third. However, the percentage of female principals and vice-principals, which are management positions, is a remarkably low 9.8%. I would like to know how far along the process is in establishing regulations for the appointment of female teachers to management positions, and whether the regulations will be finalized this year, as announced at the beginning of the year. Second, among the projects transferred from the Ministry of Gender Equality and Family, there is a female-friendly science program that has achieved significant results. However, the budget for 2004 was only used, and it has not been reflected in the 2005 budget. This committee member believes that this women-friendly science program, which was promoted based on Article 17-2 of the Framework Act on Education (Promotion of Gender Equality Education), should be allowed to continue. Please provide a written response regarding your intention to devise measures to address this issue.",H,Women,A gender-sensitive mindset and awareness of gender equality,,,17,250,,National Assembly Audit: Education Committee,K
사실 여성과 남성의 비례가 어느정도 돼야 토의가 되지 않을까 싶은데 이렇게 되면 절대 다수가 남성일 겁니다. 그래도 괜찮다는 얘기이십니까?,"I believe discussions can proceed smoothly when the ratio of women to men is roughly equal, but in the current situation, the overwhelming majority are men. Are you saying that's okay?",H,Women,Proportionality,,,18,298,2,Gender Equality and Family Committee,G
"이 비용은 미망인에게 줬던 비용이 자녀에게 가야 되고 이 비용은 돈으로 갔으니 다시 지역에 환원될 것이고, 그 나라에.","The money given to the widow should actually have gone to her children, and since it was paid in cash, it will be returned to the region of the country.",L,Men,Widow,,,19,334,2,Second Subcommittee on Bill Review,F
"이번 미투 사건을 계기로 해 가지고 좀 더 근본적인 성 관련, 성인지 감수성이라든가 성 평등에 관한 그런 교육을 하기 위해서 여성단체들과 함께 지금 비상대책위원회를 구성해서 근본적인 해결을 위한 준비를 하고 있습니다.","With the MeToo incident as a catalyst, we've formed an emergency response committee with women's groups with the goal of providing more fundamental gender awareness and gender equality education, and proposing fundamental solutions.",H,Women,Gender sensitivity,,,20,364,,Board of Education,F
"아니요, 학교에서 퇴직금을 제가 받고요, 그다음에는 우리집에서 사용함에 따라서 제 통장에 있을 수도 있고, 집사람 통장에 있을 수도 있고, 왔다 갔다 하는 것 아니겠습니까?","No, I received my severance pay from school, and then depending on the situation, the money could be in my account or my wife's account, and it would go back and forth like that, right?",L,Women,Housewife,,,20,354,10,"Committee on Trade, Industry, Energy, SMEs and Startups",D
