utterances,gender_sensitivity,target_gender,keywords,preceding_context,following_context,term,session,plenary_session,committee_name,annotator
"그 공간에서 동성애 문제에 대해서 고삐가, 빗장이 풀리는 겁니다",L,성소수자,"군 동성애, 고삐","군 동성애 폐지 법안이 이렇게 발의가 되어 있습니다. 헌법재판소에서는 한 명의 헌법재판관만 군 동성애를 허용하자는 쪽으로 방향을 틀면 군 동성애가 허용이 됩니다. 분단국에서, 유일한 휴전국에서 군대를 의무 복무로 가게 되어 있는데",많은 가정에서 그리고 당사자들이 걱정을 하고 있습니다.,20,354,3,대법원장(김명수)임명동의에관인사청문특별위원회,A
"오늘날의 전교조는 아직 성 정체성이나 이런 것도 확립되지 않은 상황에서 이런 동성애교육 결의문하에서 교육을 받을 위기에 있고, 위례별초등학교에서 일선 교사는 퀴어 축제, 보여 주는 교육을 합니다.",L,성소수자,"동성애교육, 위기",,,20,354,3,대법원장(김명수)임명동의에관인사청문특별위원회,A
"특히 왜 그러냐면 후보자가 이런 서면질의에 대해서 답변을 보낸 걸 보면 주된 내용이 이렇게 돼 있어요, ‘개인적으로 동성애 및 성소수자의 인권도 우리 사회가 다 같이 중요한 가치로 보호해야 한다’. 저는 이 말이 답변으로 지극히 옳다고 봅니다.",H,성소수자,"동성애 및 성소수자의 인권, 보호",,,20,354,3,대법원장(김명수)임명동의에관인사청문특별위원회,A
성소수자를 인정하게 되면 동성애뿐만 아니라 이제 근친상간 문제라든지 소아성애 문제라든지 시체성애라든지 수간―동물과의 성관계―까지도 비화가 될 것입니다. 그래서 우리 인간의 파괴ㆍ파탄은 정말 불 보듯 뻔할 것이다 이렇게 저는 생각합니다.,L,성소수자,"성소수자, 근친상간 문제, 소아성애 문제, 시체성애, 파괴, 파탄",,,20,354,3,대법원장(김명수)임명동의에관인사청문특별위원회,A
"우리 사회가 아직까지는 사회적으로 국민적으로 허용할 수 없는 동성애 문제, 결코 저는 허용해서는 안 된다고 생각합니다.",L,성소수자,동성애 문제,,,20,354,3,대법원장(김명수)임명동의에관인사청문특별위원회,A
저희 집사람한테 저로 말하면 장모님께서 그것을 사 주신 것으로 알고 있습니다.,L,여성,집사람,,,16,233,2,국무총리(장대환)임명동의에관한인사청문특별위원회,A
집사람 것은 대출받은 내용이 조금 다릅니다.,L,여성,집사람,,,16,233,2,국무총리(장대환)임명동의에관한인사청문특별위원회,A
그리고 지금 말씀하신 여러 가지 내용 중에 저희 집사람 보험문제는 보험을 다 정당하게 냈습니다.,L,여성,집사람,,,16,233,2,국무총리(장대환)임명동의에관한인사청문특별위원회,A
당진 건은 저희 집사람한테 준 것입니다.,L,여성,집사람,,,16,233,2,국무총리(장대환)임명동의에관한인사청문특별위원회,A
제가 확인을 해 보니까 장모님이 집사람 이름으로 사서 준 것 같습니다.,L,여성,집사람,,,16,233,2,국무총리(장대환)임명동의에관한인사청문특별위원회,A
제 집사람의 경우에는 조그만 회사의 비상근이사에서 상근이사로 전환이 되었습니다.,L,여성,집사람,,,16,233,2,국무총리(장대환)임명동의에관한인사청문특별위원회,A
제가 지금 자료를 보고 있는데 저희 집사람 소득세 납부실적이 근로소득세가 97년부터 2001년까지 나와 있는 것은 이미 제출했고 그다음에 저희 집사람 부동산임대수입에 따른 부가가치세 납부실적도 97년부터 2001년까지 있습니다.,L,여성,집사람,,,16,233,2,국무총리(장대환)임명동의에관한인사청문특별위원회,A
그리고 저희 집사람은 종합소득세에 분명히 합산되어서 세금낸 것으로 알고 있습니다.,L,여성,집사람,,,16,233,2,국무총리(장대환)임명동의에관한인사청문특별위원회,A
특히 저희 아들에 관한 것 중에서 이번에 보니까 저희 집사람이 주택부금을 붓고 있었습니다.,L,여성,집사람,,,16,233,2,국무총리(장대환)임명동의에관한인사청문특별위원회,A
가정에서 제 집사람만 뚝 떼어서 지역보험에서 보험을 내라는 것은 부당하다고 생각합니다.,L,여성,집사람,,,16,233,2,국무총리(장대환)임명동의에관한인사청문특별위원회,A
여성은 강합니다. 특히 한국여성은 강합니다. 그리고 깨끗합니다. 원칙과 기본에 충실합니다. 또한 섬세하고 유연하고 합리적이고 창조적입니다. 이제까지 우리 사회가 그러한 여성의 능력을 활용하지 못하였습니다.,L,여성,"여성, 깨끗, 섬세, 유연",,,16,232,3,국무총리(장상)임명동의에관한인사청문특별위원회,A
우리 청문위원들은 기본적으로 여성이라고 해서 특별히 편견을 갖지 않겠습니다.,H,여성,"여성, 편견",,,16,232,3,국무총리(장상)임명동의에관한인사청문특별위원회,A
